ProductID,ProductImage,ProductName
871839,https://resim.epey.com/871839/b_samsung-galaxy-z-flip5-2.png,Samsung Galaxy Z Flip 5 256 GB (SM-F731B) Cep Telefonu
993997,https://resim.epey.com/993997/b_vivo-v50-2.png,Vivo V50 5G (V2427) Cep Telefonu
987058,https://resim.epey.com/987058/b_redmi-note-14-pro-plus-3.png,Redmi Note 14 Pro+ Cep Telefonu
899244,https://resim.epey.com/899244/b_samsung-galaxy-s23-fe-256gb-2.png,Samsung Galaxy S23 FE 256 GB Cep Telefonu
872854,https://resim.epey.com/872854/b_oneplus-nord-3-1.png,OnePlus Nord 3 (CPH2493) Cep Telefonu
945237,https://resim.epey.com/945237/b_vivo-v40-2.png,Vivo V40 Cep Telefonu
894903,https://resim.epey.com/894903/b_redmi-note-13-pro-plus-6.png,Redmi Note 13 Pro+ 5G Cep Telefonu
941065,https://resim.epey.com/941065/b_honor-200-1.png,Honor 200 12 GB / 512 GB (ELI-NX9) Cep Telefonu
987127,https://resim.epey.com/987127/b_redmi-note-14-pro-5g-1.png,Redmi Note 14 Pro 5G Cep Telefonu
872682,https://resim.epey.com/872682/b_samsung-galaxy-s23-fe-2.png,Samsung Galaxy S23 FE (SM-S711B) Cep Telefonu
986893,https://resim.epey.com/986893/b_poco-x7-512gb-1.png,Poco X7 12 GB / 512 GB Cep Telefonu
926315,https://resim.epey.com/926315/b_tecno-camon-30-pro-2.png,Tecno Camon 30 Pro (CL8) Cep Telefonu
894931,https://resim.epey.com/894931/b_redmi-note-13-pro-1.png,Redmi Note 13 Pro 5G 12 GB / 512 GB Cep Telefonu
942114,https://resim.epey.com/942114/b_realme-12-pro-plus-512gb-12.png,realme 12 Pro+ 12 GB / 512 GB (RMX3840) Cep Telefonu
846678,https://resim.epey.com/846678/b_poco-f5-1.png,Poco F5 Cep Telefonu
968061,https://resim.epey.com/968061/b_huawei-nova-13-pro-1.png,Huawei Nova 13 Pro 512 GB (MIS-LX9) Cep Telefonu
922717,https://resim.epey.com/922717/b_vivo-v30-4.png,Vivo V30 (V2318) Cep Telefonu
969507,https://resim.epey.com/969507/b_honor-200-256gb-1.png,Honor 200 8 GB / 256 GB Cep Telefonu
953612,https://resim.epey.com/953612/b_nothing-phone-2a-plus-1.png,Nothing Phone (2a) Plus Cep Telefonu
968448,https://resim.epey.com/968448/b_samsung-galaxy-a56-5g-4.png,Samsung Galaxy A56 5G 256 GB (SM-A566B) Cep Telefonu
951882,https://resim.epey.com/951882/b_poco-x6-2.png,Poco X6 5G 512 GB Cep Telefonu
1006492,https://resim.epey.com/1006492/b_huawei-nova-13-pro-1.png,Huawei Nova 13 Pro 256 GB Cep Telefonu
977394,https://resim.epey.com/977394/b_poco-x7-1.png,Poco X7 Cep Telefonu
931661,https://resim.epey.com/931661/b_samsung-galaxy-a55-5g-256gb-1.png,Samsung Galaxy A55 5G 256 GB Cep Telefonu
988496,https://resim.epey.com/988496/b_oppo-reno13-f-5g-1.png,Oppo Reno13 F 5G (CPH2699) Cep Telefonu
982813,https://resim.epey.com/982813/b_redmi-note-13-pro-5g-1.png,Redmi Note 13 Pro 5G 8 GB / 256 GB Cep Telefonu
917844,https://resim.epey.com/917844/b_poco-x6-5g-2.png,Poco X6 5G 256 GB Cep Telefonu
920038,https://resim.epey.com/reklam/1586_1312699179_ust.png?v=5,Samsung Galaxy S24 Ultra
921556,https://resim.epey.com/921556/b_realme-12-pro-plus-12.png,realme 12 Pro+ (RMX3840) Cep Telefonu
1001256,https://resim.epey.com/1001256/b_samsung-galaxy-a56-5g-4.png,Samsung Galaxy A56 5G 128 GB Cep Telefonu
988959,https://resim.epey.com/988959/b_honor-magic7-lite-20.png,Honor Magic7 Lite 512 GB Cep Telefonu
869958,https://resim.epey.com/869958/b_honor-90-3.png,Honor 90 (REA-NX9) Cep Telefonu
993608,https://resim.epey.com/993608/b_samsung-galaxy-a36-5g-3.png,Samsung Galaxy A36 5G 256 GB (SM-A366B) Cep Telefonu
