Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5g,Price,Waterproof,Dustproof,ProductID
Nubia Red Magic 9S Pro,6.8,AMOLED,400,6500,50,4,Android,12,256,120,1,45499,0,0,947583
Samsung Galaxy S24,6.2,Dynamic AMOLED,418,4000,50,4,Android,8,128,120,1,34201,8,6,899613
Apple iPhone 15,6.1,OLED,460,3349,48,4,iOS,6,512,60,1,62999,8,6,895867
Samsung Galaxy S23,6.1,Dynamic AMOLED,425,3900,50,4,Android,8,256,120,1,32331,8,6,849760
Huawei P60 Pro,6.67,OLED,444,4815,48,4,Android,8,256,120,0,39984,8,6,858968
Samsung Galaxy S24 FE,6.7,Dynamic AMOLED,385,4700,50,4,Android,8,128,120,1,23899,8,6,944934
Poco F6 Pro,6.67,AMOLED,526,5000,50,4,Android,12,512,120,1,30575,3,5,940912
Apple iPhone 15 Plus,6.7,OLED,460,4383,48,4,iOS,6,128,60,1,58999,8,6,894506
Apple iPhone 15,6.1,OLED,460,3349,48,4,iOS,6,256,60,1,54999,8,6,895863
realme GT 6T,6.78,AMOLED,450,5500,50,4,Android,12,256,120,1,27399,5,5,940647
Poco F6,6.67,AMOLED,446,5000,50,4,Android,12,512,120,1,20482,4,6,940908
Samsung Galaxy S23,6.1,Dynamic AMOLED,425,3900,50,4,Android,8,128,120,1,32339,8,6,845148
Poco F5 Pro,6.67,AMOLED,526,5160,64,4,Android,12,512,120,1,29999,3,5,873950
Huawei Pura 70,6.6,OLED,460,4900,50,7,Android,12,256,120,0,37999,8,6,934779
Xiaomi 13T,6.67,AMOLED,446,5000,50,4,Android,12,256,144,1,21631,8,6,892246
Apple iPhone 15,6.1,OLED,460,3349,48,4,iOS,6,128,60,1,44000,8,6,886210
Samsung Galaxy Z Flip5,6.7,Dynamic AMOLED,425,3700,12,4,Android,8,512,120,1,38799,8,0,884226
Poco X6 Pro,6.67,AMOLED,446,5000,64,4,Android,12,512,120,1,18875,4,5,919029
Samsung Galaxy Z Flip 5,6.7,Dynamic AMOLED,425,3700,12,4,Android,8,256,120,1,41849,8,0,871839
Vivo V50 5G,6.77,AMOLED,387,6000,50,4,Android,12,256,120,1,28999,9,6,993997
Redmi Note 14 Pro+,6.67,AMOLED,446,5110,200,4,Android,12,512,120,1,22791,8,6,987058
Samsung Galaxy S23 FE,6.4,Dynamic AMOLED,403,4500,50,4,Android,8,256,120,1,24179,8,6,899244
OnePlus Nord 3,6.74,AMOLED,450,5000,50,4,Android,16,256,120,1,24249,4,5,872854
Vivo V40,6.78,AMOLED,452,5500,50,4,Android,12,256,120,1,25999,8,6,945237
Redmi Note 13 Pro+ 5G,6.67,AMOLED,446,5000,200,4,Android,12,512,120,1,15499,8,6,894903
