ProductID,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık
989055,https://resim.epey.com/989055/b_samsung-galaxy-s25-256gb-2.png,Samsung Galaxy S25 12 GB RAM 256 GB,43100,Samsung Galaxy S25,6.2 İnç,Dynamic AMOLED,418 PPI,4000 mAh,50 MP,3 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
895856,https://resim.epey.com/895856/b_apple-iphone-15-pro-512gb-3.png,Apple iPhone 15 Pro 8 GB RAM 512 GB,91199,Apple iPhone 15 Pro,6.1 İnç,OLED,460 PPI,3274 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X
899642,https://resim.epey.com/899642/b_samsung-galaxy-s24-ultra-1.png,Samsung Galaxy S24 Ultra 12 GB RAM 256 GB,54435,Samsung Galaxy S24 Ultra,6.8 İnç,Dynamic AMOLED,505 PPI,5000 mAh,200 MP,4 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
990385,https://resim.epey.com/990385/b_nubia-red-magic-10-pro-512gb-1.png,Nubia Red Magic 10 Pro 16 GB RAM 512 GB,59999,Nubia Red Magic 10 Pro,6.85 İnç,AMOLED,431 PPI,7050 mAh,50 MP,3 nm,Android,16 GB,512 GB,144 Hz,Var,,
950949,https://resim.epey.com/950949/b_xiaomi-14t-pro-3.png,Xiaomi 14T Pro 12 GB RAM 256 GB,33809,Xiaomi 14T Pro,6.67 İnç,AMOLED,446 PPI,5000 mAh,50 MP,4 nm,Android,12 GB,256 GB,144 Hz,Var,IPX8,IP6X
809152,https://resim.epey.com/809152/b_apple-iphone-14-pro-max-1tb-2.png,Apple iPhone 14 Pro Max 6 GB RAM,94805,Apple iPhone 14 Pro Max,6.7 İnç,OLED,460 PPI,4323 mAh,48 MP,4 nm,iOS,6 GB,1 TB,120 Hz,Var,IPX8,IP6X
895855,https://resim.epey.com/895855/b_apple-iphone-15-pro-256gb-3.png,Apple iPhone 15 Pro 8 GB RAM 256 GB,92609,Apple iPhone 15 Pro,6.1 İnç,OLED,460 PPI,3274 mAh,48 MP,3 nm,iOS,8 GB,256 GB,120 Hz,Var,IPX8,IP6X
982344,https://resim.epey.com/982344/b_samsung-galaxy-s25-2.png,Samsung Galaxy S25 12 GB RAM 128 GB,41165,Samsung Galaxy S25,6.2 İnç,Dynamic AMOLED,418 PPI,4000 mAh,50 MP,3 nm,Android,12 GB,128 GB,120 Hz,Var,IPX8,IP6X
960856,https://resim.epey.com/960856/b_apple-iphone-16-plus-512gb-2.png,Apple iPhone 16 Plus 8 GB RAM 512 GB,75753,Apple iPhone 16 Plus,6.7 İnç,OLED,460 PPI,4674 mAh,48 MP,3 nm,iOS,8 GB,512 GB,60 Hz,Var,IPX8,IP6X
839868,https://resim.epey.com/839868/b_xiaomi-13-pro-2.png,Xiaomi 13 Pro 12 GB RAM 512 GB,49471,Xiaomi 13 Pro,6.73 İnç,AMOLED,521 PPI,4820 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
