Product Name,Price,Product Csv name
Samsung Galaxy A35 128GB ,0,Samsung Galaxy A35
Samsung Galaxy Z Fold5 512GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Fold5 1000GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Fold5 512GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy A35 128GB ,0,Samsung Galaxy A35
Samsung Galaxy A35 256GB ,0,Samsung Galaxy A35
Samsung Galaxy S24+ 512GB ,0,Samsung Galaxy S24+
Samsung Galaxy S24+ 512GB ,0,Samsung Galaxy S24+
Samsung Galaxy S24 Ultra 512GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 1000GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 512GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 1000GB ,0,Samsung Galaxy S24 Ultra
Tecno Spark 10 Pro 256GB ,0,Tecno Spark 10 Pro
Tecno Spark Go 2023 64GB ,0,Tecno Spark Go 2023
Tecno Pova 6 Pro 256GB ,0,Tecno Pova 6 Pro
Tecno Spark 10 5G 128GB ,0,Tecno Spark 10 5G
Tecno Spark Go 2024 128GB ,0,Tecno Spark Go 2024
vivo V30 256GB ,0,vivo V30
vivo V29 256GB ,0,vivo V29
vivo V40 512GB ,0,vivo V40
vivo X100 512GB ,0,vivo X100
vivo X100 256GB ,0,vivo X100
vivo X100 Pro 256GB ,0,vivo X100 Pro
vivo iQOO 12 1000GB ,0,vivo iQOO 12
vivo X100 Pro 256GB ,0,vivo X100 Pro
vivo iQOO 12 512GB ,0,vivo iQOO 12
Xiaomi Poco F5 Pro 256GB ,0,Xiaomi Poco F5 Pro
Xiaomi Redmi Note 13 Pro 4G 512GB ,0,Xiaomi Redmi Note 13 Pro 4G
Xiaomi Redmi Note 13 Pro 4G 256GB ,0,Xiaomi Redmi Note 13 Pro 4G
Xiaomi Mix Flip 512GB ,0,Xiaomi Mix Flip
Xiaomi Poco M6 4G 256GB ,0,Xiaomi Poco M6 4G
Xiaomi Redmi 13 256GB ,0,Xiaomi Redmi 13
Xiaomi Redmi A3 128GB ,0,Xiaomi Redmi A3
Xiaomi 14 256GB ,0,Xiaomi 14
Xiaomi Redmi 12 128GB ,0,Xiaomi Redmi 12
Xiaomi 13 Ultra 512GB ,0,Xiaomi 13 Ultra
Xiaomi 13T Pro 512GB ,0,Xiaomi 13T Pro
Xiaomi Poco C65 256GB ,0,Xiaomi Poco C65
Xiaomi Redmi Note 12 Pro 4G 128GB ,0,Xiaomi Redmi Note 12 Pro 4G
Xiaomi Redmi 13C 128GB ,0,Xiaomi Redmi 13C
