phone_brand,phone_model,price_usd,storage,ram,launch_date,dimensions,weight,display_type,display_size,display_resolution,os,nfc,usb,battery,colors,video,chipset,cpu,gpu,year,foldable,ppi_density,price_range,os_type,os_version,battery_size,colors_available,chip_company,cpu_core,gpu_company,fingerprint,video_resolution
xiaomi,Xiaomi Redmi Note 13 Pro,219.72,256,8,9/21/2023,161.2 x 74.2 x 8 mm (6.35 x 2.92 x 0.31 in),187,"AMOLED, 68B colors, 120Hz, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak)",6.67,1220 x 2712,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5100,"Midnight Black, Aurora Purple (Coral Purple), Ocean Teal, Arctic White, Olive Green, Scarlet Red","4K@30fps, 1080p@30/60/120fps, gyro-EIS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,1/1/2023,0,446,medium price,Android,13,Large,6,Qualcomm,Octa-core,Adreno,under,4K
xiaomi,Xiaomi Poco M6 Pro,174.49,512,12,1/12/2024,161.1 x 75 x 8 mm (6.34 x 2.95 x 0.31 in),179,"AMOLED, 120Hz, 1000 nits (HBM), 1300 nits (peak)",6.67,1080 x 2400,"Android 13, MIUI 14, planned upgrade to Android 14, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Black, Blue, Purple","1080p@30/60fps, gyro-EIS",Mediatek Helio G99 Ultra,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,1/1/2024,0,395,medium price,Android,13,Large,3,Mediatek,Octa-core,Mali,under,1080p
xiaomi,Xiaomi Redmi 13C 5G,158.95,128,6,12/16/2023,168 x 78 x 8.1 mm (6.61 x 3.07 x 0.32 in),192,"IPS LCD, 90Hz, 450 nits (typ), 600 nits (HBM)",6.74,720 x 1600,"Android 13, MIUI 14",0,USB Type-C 2.0,5000,"Starlight Black, Startrail Green, Startrail Silver",1080p@30fps,Mediatek Dimensity 6100+ (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,1/1/2023,0,260,medium price,Android,13,Large,3,Mediatek,Octa-core,Mali,side,1080p
xiaomi,Xiaomi Redmi Note 12 4G,119.21,128,4,3/30/2023,165.7 x 76 x 7.9 mm (6.52 x 2.99 x 0.31 in),183.5,"AMOLED, 120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak)",6.67,1080 x 2400,"Android 13, upgradable to Android 14, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Onyx Gray, Mint Green, Ice Blue",1080p@30fps,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,1/1/2023,0,395,medium price,Android,13,Large,3,Qualcomm,Octa-core,Adreno,side,1080p
xiaomi,Xiaomi Redmi Note 12 4G,195,128,6,3/30/2023,165.7 x 76 x 7.9 mm (6.52 x 2.99 x 0.31 in),183.5,"AMOLED, 120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak)",6.67,1080 x 2400,"Android 13, upgradable to Android 14, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Onyx Gray, Mint Green, Ice Blue",1080p@30fps,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,1/1/2023,0,395,medium price,Android,13,Large,3,Qualcomm,Octa-core,Adreno,side,1080p
xiaomi,Xiaomi Redmi Note 12 4G,154,128,8,3/30/2023,165.7 x 76 x 7.9 mm (6.52 x 2.99 x 0.31 in),183.5,"AMOLED, 120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak)",6.67,1080 x 2400,"Android 13, upgradable to Android 14, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Onyx Gray, Mint Green, Ice Blue",1080p@30fps,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,1/1/2023,0,395,medium price,Android,13,Large,3,Qualcomm,Octa-core,Adreno,side,1080p
xiaomi,Xiaomi Redmi A2+,89.91,32,3,3/24/2023,164.9 x 76.8 x 9.1 mm (6.49 x 3.02 x 0.36 in),192,"IPS LCD, 400 nits (typ)",6.52,720 x 1600,"Android 12 or 13 (Go edition), MIUI",0,microUSB 2.0,5000,"Aqua Blue, Classic Black, Sea Green",1080p@30fps,Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,1/1/2023,0,269,low price,Android,12,Large,3,Mediatek,Octa-core,PowerVR,rear,1080p
xiaomi,Xiaomi Redmi A2+,69.63,64,3,3/24/2023,164.9 x 76.8 x 9.1 mm (6.49 x 3.02 x 0.36 in),192,"IPS LCD, 400 nits (typ)",6.52,720 x 1600,"Android 12 or 13 (Go edition), MIUI",0,microUSB 2.0,5000,"Aqua Blue, Classic Black, Sea Green",1080p@30fps,Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,1/1/2023,0,269,low price,Android,12,Large,3,Mediatek,Octa-core,PowerVR,rear,1080p
xiaomi,Xiaomi Redmi A2,92.98,32,3,3/24/2023,164.9 x 76.8 x 9.1 mm (6.49 x 3.02 x 0.36 in),192,"IPS LCD, 400 nits (typ)",6.52,720 x 1600,"Android 12 or 13 (Go edition), MIUI",0,microUSB 2.0,5000,"Aqua Blue, Classic Black, Sea Green",1080p@30fps,Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,1/1/2023,0,269,low price,Android,12,Large,3,Mediatek,Octa-core,PowerVR,Accelerometer,1080p
xiaomi,Xiaomi Poco X5 Pro,249.29,256,8,2/7/2023,162.9 x 76 x 7.9 mm (6.41 x 2.99 x 0.31 in),181,"AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 500 nits (typ), 900 nits (HBM)",6.67,1080 x 2400,"Android 12, upgradable to Android 13, MIUI 14 for POCO",1,"USB Type-C 2.0, OTG",5000,"Astral Black, Horizon Blue, Poco Yellow","4K@30fps, 1080p@30/60/120fps, gyro-EIS",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,1/1/2023,0,395,medium price,Android,12,Large,3,Qualcomm,Octa-core,Adreno,side,4K
xiaomi,Xiaomi Redmi Note 12S,127,128,6,4/26/2023,159.9 x 73.9 x 8.1 mm (6.30 x 2.91 x 0.32 in),176,"AMOLED, 90Hz, 700 nits (HBM), 1000 nits (peak)",6.43,1080 x 2400,"Android 13, MIUI 14",1,USB Type-C 2.0,5000,"Onyx Black, Ice Blue, Pearl Green",1080p@30fps,Mediatek MT6781 Helio G96 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,1/1/2023,0,409,medium price,Android,13,Large,3,Mediatek,Octa-core,Mali,side,1080p
xiaomi,Xiaomi Poco F6,361.68,512,12,5/23/2024,160.5 x 74.5 x 8 mm (6.32 x 2.93 x 0.31 in),179,"AMOLED, 68B colors, 120Hz, HDR10+, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 2400 nits (peak)",6.67,1220 x 2712,"Android 14, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Black, Green, Titanium","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,1/1/2024,0,446,medium price,Android,14,Large,3,Qualcomm,Octa-core,Adreno,under,4K
xiaomi,Xiaomi Poco F6 Pro,533.63,1000,16,5/23/2024,160.9 x 75 x 8.2 mm (6.33 x 2.95 x 0.32 in),209,"AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 700 nits (typ), 1200 nits (HBM), 4000 nits (peak)",6.67,1440 x 3200,"Android 14, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Black, White","8K@24fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,1/1/2024,0,526,medium price,Android,14,Large,2,Qualcomm,Octa-core,Adreno,under,8K
xiaomi,Xiaomi Poco F6 Pro,501.43,512,12,5/23/2024,160.9 x 75 x 8.2 mm (6.33 x 2.95 x 0.32 in),209,"AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 700 nits (typ), 1200 nits (HBM), 4000 nits (peak)",6.67,1440 x 3200,"Android 14, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Black, White","8K@24fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,1/1/2024,0,526,medium price,Android,14,Large,2,Qualcomm,Octa-core,Adreno,under,8K
